date,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
1/13/20,0,0,0,0,0,0,0,0
1/14/20,0,0,0,0,0,0,0,0
1/15/20,0,0,0,0,0,0,0,0
1/16/20,0,0,0,0,0,0,0,0
1/17/20,0,0,0,0,0,0,0,0
1/18/20,0,0,0,0,0,0,0,0
1/19/20,1,0,0,0,1,0,0,0
1/20/20,0,0,0,0,1,0,0,0
1/21/20,1,0,0,0,2,0,0,0
1/22/20,4,0,0,0,6,0,0,1
1/23/20,1,0,0,1,7,0,0,2
1/24/20,1,0,0,0,8,0,0,2
1/25/20,0,0,0,0,9,0,0,2
1/26/20,2,0,0,0,11,0,0,2
1/27/20,0,0,0,1,11,0,0,3
1/28/20,0,0,0,0,11,0,0,3
1/29/20,0,0,0,1,11,0,0,5
1/30/20,1,0,0,0,12,0,0,5
1/31/20,1,0,0,3,13,0,0,8
2/1/20,0,0,0,0,14,0,0,8
2/2/20,3,0,0,0,17,0,0,8
2/3/20,2,0,0,3,19,0,0,11
2/4/20,2,0,0,4,21,0,0,15
2/5/20,0,0,0,0,22,0,0,15
2/6/20,2,0,0,1,24,0,0,16
2/7/20,1,0,0,0,25,0,0,16
2/8/20,0,0,0,2,25,0,0,18
2/9/20,0,0,0,0,25,0,0,18
2/10/20,1,0,0,1,26,0,0,19
2/11/20,0,0,0,1,26,0,0,20
2/12/20,1,0,0,1,28,0,0,21
2/13/20,2,0,0,1,30,0,0,22
2/14/20,2,0,0,0,32,0,0,22
2/15/20,0,0,0,3,32,0,0,26
2/16/20,0,0,0,2,32,0,0,28
2/17/20,2,0,0,1,44,0,0,29
2/18/20,0,0,0,0,44,0,0,29
2/19/20,1,0,0,6,45,0,0,35
2/20/20,2,0,0,1,48,0,0,36
2/21/20,6,0,0,1,54,0,0,37
2/22/20,4,0,0,1,58,0,0,38
2/23/20,1,0,0,0,59,0,0,38
2/24/20,9,0,0,2,69,0,0,40
2/25/20,5,0,0,1,76,0,0,41
2/26/20,19,2,0,0,95,2,0,41
2/27/20,4,1,0,6445,99,3,0,6487
2/28/20,8,2,0,3,108,5,0,6490
2/29/20,12,1,0,62,120,6,0,6555
3/1/20,17,3,0,99,154,9,0,6655
3/2/20,47,3,0,204,200,13,0,6859
3/3/20,56,3,0,267,256,16,0,7139
3/4/20,75,2,0,335,327,19,0,8035
3/5/20,75,5,0,1483,389,24,0,9556
3/6/20,154,7,0,2109,472,33,0,11734
3/7/20,140,1,0,854,590,34,0,12666
3/8/20,169,4,0,1136,771,40,0,13813
3/9/20,306,4,0,2069,1077,46,0,15882
3/10/20,432,2,0,3341,1509,50,0,19223
3/11/20,427,6,0,4471,1936,49,0,23694
3/12/20,669,9,0,6766,2606,57,0,30460
3/13/20,859,5,0,9888,3468,59,0,40348
3/14/20,1031,8,0,9812,4500,71,0,50160
3/15/20,1264,15,0,10258,5764,82,0,60418
3/16/20,1708,23,0,23279,7471,106,0,83738
3/17/20,2130,24,0,26793,9601,130,0,110532
3/18/20,3356,26,0,32707,12957,157,0,143239
3/19/20,4638,51,0,39593,17595,209,0,182832
3/20/20,6073,70,0,49592,23668,274,0,232424
3/21/20,6964,62,0,52213,30632,339,0,284637
3/22/20,9230,145,0,51963,39862,483,0,336600
3/23/20,11211,102,0,57495,51073,583,17,394096
3/24/20,10933,235,0,87181,62006,819,17,481277
3/25/20,12660,242,4,82010,74666,1060,167,563287
3/26/20,17585,313,44,107021,92251,1373,125,670308
3/27/20,19227,412,89,100866,111478,1786,375,771174
3/28/20,19785,550,75,111085,131263,2337,434,882260
3/29/20,19721,507,110,86475,150984,2842,544,968735
3/30/20,21180,583,32,100478,172164,3425,371,1069213
3/31/20,25015,909,100,115042,197179,4335,733,1184255
4/1/20,26163,1006,240,122246,223342,5340,973,1306502
4/2/20,28183,1174,162,130988,251525,6514,1160,1437490
4/3/20,31991,1288,413,142186,283516,7802,2012,1579676
4/4/20,32993,1477,484,229905,316509,9279,2356,1809581
4/5/20,25829,1337,41,128587,342338,10616,2397,1938168
4/6/20,28385,1313,411,136715,370723,11929,3191,2074883
4/7/20,30493,2042,739,170275,401216,13971,3959,2245159
4/8/20,30930,1999,698,165140,432146,15970,4792,2410299
4/9/20,34868,2053,1751,170277,467014,18023,6543,2580576
4/10/20,33793,2081,1000,155725,500807,20104,8070,2736301
4/11/20,31290,2078,1485,158124,532097,22182,9555,2894425
4/12/20,28249,1698,621,139604,560346,23880,10176,3034029
4/13/20,24162,1630,986,125644,584508,25510,11380,3159674
4/14/20,26036,2354,1322,159690,610544,27864,12702,3319364
4/15/20,29656,2540,1459,148882,640200,30404,14161,3468245
4/16/20,31293,2196,2408,183119,671493,32600,16569,3651364
4/17/20,31598,2116,1414,171809,703091,34716,18373,3823173
4/18/20,27627,1896,4525,171635,730718,36612,25540,3994809
4/19/20,26919,1764,1602,148428,757637,38376,27142,4143237
4/20/20,24401,1814,540,143897,782038,40190,27682,4287134
4/21/20,27380,2476,1867,166415,809418,42666,29534,4453549
4/22/20,29175,2148,3157,334559,838593,44814,47618,4788108
4/23/20,31984,1803,1898,217704,870577,46617,49516,5005812
4/24/20,31221,1971,2331,245965,901798,48588,51847,5251778
4/25/20,40992,1634,7403,272812,942790,50222,59250,5524590
4/26/20,26907,1210,1851,203991,969697,51432,61101,5728580
4/27/20,22732,1273,3644,195643,992429,52705,64745,5924224
4/28/20,24937,2078,1053,215706,1017366,54783,65798,6139929
4/29/20,26238,2686,2598,255282,1043604,57469,71809,6395211
4/30/20,30307,2154,2197,275879,1073911,59623,77358,6671091
5/1/20,32623,1812,2979,284527,1106534,61435,84683,6955618
5/2/20,29263,1520,9847,270942,1135797,62955,94530,7226560
5/3/20,25828,1247,2037,239966,1161625,64202,96567,7466526
5/4/20,22240,981,6838,236487,1183865,65183,104265,7703013
5/5/20,22460,2494,2662,279468,1206325,67677,106927,7982481
5/6/20,25149,1929,3813,293378,1231474,69606,110755,8275859
5/7/20,27293,2732,4051,329147,1258767,72338,114806,8605007
5/8/20,27149,1787,2916,312112,1285916,74125,117722,8917119
5/9/20,25206,1459,11421,321773,1311122,75584,129143,9238892
5/10/20,21375,1026,2458,274394,1332497,76610,131601,9513287
5/11/20,18057,887,6842,372067,1350554,77497,138443,9885353
5/12/20,22413,1516,6316,339891,1372967,79013,144759,10225244
5/13/20,21389,1725,3345,346560,1394356,80738,148104,10571804
5/14/20,26623,1845,2338,388761,1420979,82583,150442,10960565
5/15/20,25732,1535,3563,408037,1446711,84118,154005,11368603
5/16/20,23710,1249,9378,392896,1470421,85367,163383,11761499
5/17/20,20517,862,2642,349322,1490938,86229,166025,12110821
5/18/20,20538,852,7538,347632,1511476,87081,173563,12458453
5/19/20,20564,1325,5635,422654,1532040,88406,179198,12881108
5/20/20,21432,1396,4251,450180,1553472,89802,183449,13331288
5/21/20,26561,1382,2672,497925,1580033,91184,186121,13829213
5/22/20,24064,1288,4935,450483,1604097,92472,236774,14279696
5/23/20,22525,1034,10345,443572,1626622,93506,247119,14723268
5/24/20,19276,691,4142,389055,1645898,94197,251261,15112323
5/25/20,18333,557,8711,407547,1664231,94754,259972,15519871
5/26/20,16572,669,4639,316225,1680803,95423,264611,15836096
5/27/20,19265,1340,6395,416697,1700068,96763,271006,16252793
5/28/20,22803,1235,7346,494405,1722871,97998,356460,16747199
5/29/20,23848,1175,5676,507229,1746719,99173,362136,17254428
5/30/20,23358,923,9213,480363,1770077,100096,371349,17734792
5/31/20,21696,655,5611,428851,1791773,100751,376960,18163643
6/1/20,19966,676,8548,417971,1811739,101427,385508,18581614
6/2/20,19964,984,4845,449624,1831703,102411,390353,19031238
6/3/20,20146,973,7194,505628,1851849,103384,404290,19536866
